KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EchoTime_x	EffectiveEchoSpacing	EffectiveEchoSpacing_x	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	RepetitionTime_x	TotalReadoutTime	TotalReadoutTime_x	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim1_x	VoxelSizeDim2	VoxelSizeDim2_x	VoxelSizeDim3	VoxelSizeDim3_x	FilePath	DROP	WHY
datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-02_magnitude2.nii.gz	0	
datatype-fmap_fmap-phasediff_run-01_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-01_suffix-phasediff	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-01_phasediff.nii.gz	1	check intended fors
datatype-fmap_fmap-phasediff_run-02_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-02_suffix-phasediff	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-02_phasediff.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-axial__1	datatype-anat_run-01_suffix-minIP_acquisition-axial	1		0		0		0	0	0	4	288	384	1	0.00366	0.00366			4	18	FALSE	LAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	40	40	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-axial_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-axial__1	datatype-anat_run-02_suffix-minIP_acquisition-axial	1		0		0		0	0	0	4	288	384	1	0.00366	0.00366			4	18	FALSE	LAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	40	40	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-axial_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-coronal__1	datatype-anat_run-01_suffix-minIP_acquisition-coronal	1		0		0		0	0	0	4	288	76	1	0.00366	0.00366			4	18	FALSE	LSP+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	200	200	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-coronal_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-coronal__1	datatype-anat_run-02_suffix-minIP_acquisition-coronal	1		0		0		0	0	0	4	288	76	1	0.00366	0.00366			4	18	FALSE	LSP+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	200	200	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-coronal_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-sagittal__1	datatype-anat_run-01_suffix-minIP_acquisition-sagittal	1		0		0		0	0	0	4	384	76	1	0.00366	0.00366			4	18	FALSE	PSR+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	150	150	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-sagittal_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-sagittal__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittal	1		0		0		0	0	0	4	384	76	1	0.00366	0.00366			4	18	FALSE	PSR+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	150	150	/sub-117226/ses-1/anat/sub-117226_ses-1_acq-sagittal_run-02_minIP.nii.gz	0	
datatype-func_run-02_suffix-bold_task-rest_acquisition-multiband__1	datatype-func_run-02_suffix-bold_task-rest_acquisition-multiband	1		0	0	0	0	0	0	0	4	64	64	48	0.025	0.025	0.000599992	0.000599992	4	30	TRUE	LAS+		func	6	48	1200	TRUE		1	j-	0.5	0.5	0.0377995	0.0377995	FALSE	3	3	3	3	3	3	/sub-117226/ses-1/func/sub-117226_ses-1_task-rest_acq-multiband_run-02_bold.nii.gz		
datatype-func_run-01_suffix-bold_task-rest_acquisition-multibandVARIANTNumVolumes504__1	datatype-func_run-01_suffix-bold_task-rest_acquisition-multibandVARIANTNumVolumes504	1									1	64	64	48	0.025		0.000599992		1	30	TRUE	LAS+		func	6	48	504	TRUE		1	j-	0.5		0.0377995		FALSE	3		3		3		/sub-117226/ses-1/func/sub-117226_ses-1_task-rest_acq-multibandVARIANTNumVolumes504_run-01_bold.nii.gz		
datatype-anat_run-01_suffix-angio_acquisition-VARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-angio_acquisition-VARIANTRepetitionTimeC1	1									1	288	384	40	0.00366				1	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		1		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-VARIANTRepetitionTimeC1_run-01_angio.nii.gz	1	incomplete
datatype-anat_run-02_suffix-angio_acquisition-VARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-angio_acquisition-VARIANTRepetitionTimeC1	1									1	288	384	40	0.00366				1	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		1		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-VARIANTRepetitionTimeC1_run-02_angio.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1	1									1	288	384	1	0.00366				1	18	FALSE	LAS+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		40		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-axialVARIANTRepetitionTimeC1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1	1									1	288	384	1	0.00366				1	18	FALSE	LAS+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		40		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-axialVARIANTRepetitionTimeC1_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1	1									1	288	76	1	0.00366				1	18	FALSE	LSP+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		200		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-coronalVARIANTRepetitionTimeC1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1	1									1	288	76	1	0.00366				1	18	FALSE	LSP+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		200		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-coronalVARIANTRepetitionTimeC1_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1	1									1	384	76	1	0.00366				1	18	FALSE	PSR+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		150		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-sagittalVARIANTRepetitionTimeC1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1	1									1	384	76	1	0.00366				1	18	FALSE	PSR+		anat		0	1	FALSE		0.75		0.034				FALSE	0.520833015		0.520833015		150		/sub-118393/ses-1/anat/sub-118393_ses-1_acq-sagittalVARIANTRepetitionTimeC1_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-121407/ses-1/anat/sub-121407_ses-1_run-01_T1w.nii.gz	1	earplugs
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-121407/ses-1/anat/sub-121407_ses-1_run-02_T1w.nii.gz	0	
datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1	1		0		0		0	0	0	2	80	80	60	0.00412	0.00412			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-01_magnitude1.nii.gz	1	check intended fors
datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1	1		0		0		0	0	0	2	80	80	60	0.00412	0.00412			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-02_magnitude1.nii.gz	0	
datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-01_magnitude2.nii.gz	1	check intended fors
datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-02_magnitude2.nii.gz	0	
datatype-fmap_fmap-phasediff_run-01_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-01_suffix-phasediff	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-01_phasediff.nii.gz	1	check intended fors
datatype-fmap_fmap-phasediff_run-02_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-02_suffix-phasediff	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-121407/ses-1/fmap/sub-121407_ses-1_run-02_phasediff.nii.gz	0	
datatype-anat_run-01_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74__1	datatype-anat_run-01_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74	1									1	288	384	74	0.00366				1	18	FALSE	RAS+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		1		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-VARIANTParallelReductionFactorInPlane2p0Dim3Size74_run-01_angio.nii.gz	1	
datatype-anat_run-02_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74__1	datatype-anat_run-02_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74	1									1	288	384	74	0.00366				1	18	FALSE	RAS+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		1		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-VARIANTParallelReductionFactorInPlane2p0Dim3Size74_run-02_angio.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1	1									1	288	384	1	0.00366				1	18	FALSE	LAS+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1	1									1	288	384	1	0.00366				1	18	FALSE	LAS+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	288	142	1	0.00366				1	18	FALSE	LSP+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	288	142	1	0.00366				1	18	FALSE	LSP+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1_run-02_minIP.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	384	142	1	0.00366				1	18	FALSE	PSR+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1_run-01_minIP.nii.gz	1	
datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	384	142	1	0.00366				1	18	FALSE	PSR+		anat		0	1	FALSE	2	0.75		0.022				FALSE	0.520833015		0.520833015		34		/sub-121407/ses-1/anat/sub-121407_ses-1_acq-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1_run-02_minIP.nii.gz	0	
datatype-func_run-02_suffix-bold_task-rest_acquisition-multiband__1	datatype-func_run-02_suffix-bold_task-rest_acquisition-multiband	1		0	0	0	0	0	0	0	4	64	64	48	0.025	0.025	0.000599992	0.000599992	4	30	TRUE	LAS+		func	6	48	1200	TRUE		1	j-	0.5	0.5	0.0377995	0.0377995	FALSE	3	3	3	3	3	3	/sub-121407/ses-1/func/sub-121407_ses-1_task-rest_acq-multiband_run-02_bold.nii.gz		
datatype-func_run-01_suffix-bold_task-rest_acquisition-multibandVARIANTNumVolumes34__1	datatype-func_run-01_suffix-bold_task-rest_acquisition-multibandVARIANTNumVolumes34	1									1	64	64	48	0.025		0.000599992		1	30	TRUE	LAS+		func	6	48	34	TRUE		1	j-	0.5		0.0377995		FALSE	3		3		3		/sub-121407/ses-1/func/sub-121407_ses-1_task-rest_acq-multibandVARIANTNumVolumes34_run-01_bold.nii.gz		
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-129405/ses-1/anat/sub-129405_ses-1_run-01_T1w.nii.gz	1	ringing
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-129405/ses-1/anat/sub-129405_ses-1_run-02_T1w.nii.gz	0	
datatype-func_run-02_suffix-bold_task-fracback_acquisition-singlebandVARIANTNumVolumes40__1	datatype-func_run-02_suffix-bold_task-fracback_acquisition-singlebandVARIANTNumVolumes40	1									1	64	64	46	0.032		0.000550002		1	30	TRUE	LAS+		func		46	40	TRUE		1	j-	3		0.0346501		FALSE	3		3		3		/sub-130121/ses-1/func/sub-130121_ses-1_task-fracback_acq-singlebandVARIANTNumVolumes40_run-02_bold.nii.gz		
datatype-func_run-01_suffix-bold_task-fracback_acquisition-singlebandVARIANTNumVolumes89__1	datatype-func_run-01_suffix-bold_task-fracback_acquisition-singlebandVARIANTNumVolumes89	1									1	64	64	46	0.032		0.000550002		1	30	TRUE	LAS+		func		46	89	TRUE		1	j-	3		0.0346501		FALSE	3		3		3		/sub-130121/ses-1/func/sub-130121_ses-1_task-fracback_acq-singlebandVARIANTNumVolumes89_run-01_bold.nii.gz		
datatype-func_run-01_suffix-bold_task-face_acquisition-singleband__1	datatype-func_run-01_suffix-bold_task-face_acquisition-singleband	1									1	64	64	32	0.025		0.000530002		1	30	TRUE	LAS+		func		32	3	TRUE		1	j-	2		0.0333901		FALSE	3.4375		3.4375		3.400000095		/sub-130896/ses-1/func/sub-130896_ses-1_task-face_acq-singleband_run-01_bold.nii.gz		
datatype-func_run-02_suffix-bold_task-face_acquisition-singleband__1	datatype-func_run-02_suffix-bold_task-face_acquisition-singleband	1		0	0	0	0	0	0	0	2	64	64	32	0.025	0.025	0.000530002	0.000530002	2	30	TRUE	LAS+		func		32	178	TRUE		1	j-	2	2	0.0333901	0.0333901	FALSE	3.4375	3.4375	3.4375	3.4375	3.400000095	3.400000095	/sub-130896/ses-1/func/sub-130896_ses-1_task-face_acq-singleband_run-02_bold.nii.gz		
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-20940/ses-1/anat/sub-20940_ses-1_run-01_T1w.nii.gz	1	
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-20940/ses-1/anat/sub-20940_ses-1_run-02_T1w.nii.gz	0	
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-20981/ses-1/anat/sub-20981_ses-1_run-01_T1w.nii.gz	1	ringing
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-20981/ses-1/anat/sub-20981_ses-1_run-02_T1w.nii.gz	0	
datatype-anat_run-01_suffix-angio__1	datatype-anat_run-01_suffix-angio	1		0		0		0	0	0	4	288	384	40	0.00366	0.00366			4	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	1	1	/sub-83999/ses-1/anat/sub-83999_ses-1_run-01_angio.nii.gz	1	
datatype-anat_run-02_suffix-angio__1	datatype-anat_run-02_suffix-angio	1		0		0		0	0	0	4	288	384	40	0.00366	0.00366			4	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	1	1	/sub-83999/ses-1/anat/sub-83999_ses-1_run-02_angio.nii.gz	0	
datatype-anat_run-01_suffix-minIP_acquisition-axial__1	datatype-anat_run-01_suffix-minIP_acquisition-axial	1		0		0		0	0	0	4	288	384	1	0.00366	0.00366			4	18	FALSE	LAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	40	40	/sub-83999/ses-1/anat/sub-83999_ses-1_acq-axial_run-01_minIP.nii.gz	1	
