action	modality	subject	session	source_path	dest_path
DELETE	T2w	sub-94492	ses-1	/cbica/projects/grmpy/data/bids/sub-94492/ses-1/anat/sub-94492_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-94492	ses-1	/cbica/projects/grmpy/data/bids/sub-94492/ses-1/anat/sub-94492_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-94492	ses-1	/cbica/projects/grmpy/data/bids/sub-94492/ses-1/anat/sub-94492_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-82051	ses-1	/cbica/projects/grmpy/data/bids/sub-82051/ses-1/anat/sub-82051_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-82051	ses-1	/cbica/projects/grmpy/data/bids/sub-82051/ses-1/anat/sub-82051_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-82051	ses-1	/cbica/projects/grmpy/data/bids/sub-82051/ses-1/anat/sub-82051_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-82051	ses-1	/cbica/projects/grmpy/data/bids/sub-82051/ses-1/anat/sub-82051_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-126903	ses-1	/cbica/projects/grmpy/data/bids/sub-126903/ses-1/anat/sub-126903_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-126903	ses-1	/cbica/projects/grmpy/data/bids/sub-126903/ses-1/anat/sub-126903_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-126903	ses-1	/cbica/projects/grmpy/data/bids/sub-126903/ses-1/anat/sub-126903_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-126903	ses-1	/cbica/projects/grmpy/data/bids/sub-126903/ses-1/anat/sub-126903_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20326	ses-1	/cbica/projects/grmpy/data/bids/sub-20326/ses-1/anat/sub-20326_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-20326	ses-1	/cbica/projects/grmpy/data/bids/sub-20326/ses-1/anat/sub-20326_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20326	ses-1	/cbica/projects/grmpy/data/bids/sub-20326/ses-1/anat/sub-20326_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-20326	ses-1	/cbica/projects/grmpy/data/bids/sub-20326/ses-1/anat/sub-20326_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-82063	ses-1	/cbica/projects/grmpy/data/bids/sub-82063/ses-1/anat/sub-82063_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-82063	ses-1	/cbica/projects/grmpy/data/bids/sub-82063/ses-1/anat/sub-82063_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-82063	ses-1	/cbica/projects/grmpy/data/bids/sub-82063/ses-1/anat/sub-82063_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-82063	ses-1	/cbica/projects/grmpy/data/bids/sub-82063/ses-1/anat/sub-82063_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-114990	ses-1	/cbica/projects/grmpy/data/bids/sub-114990/ses-1/anat/sub-114990_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-114990	ses-1	/cbica/projects/grmpy/data/bids/sub-114990/ses-1/anat/sub-114990_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-114990	ses-1	/cbica/projects/grmpy/data/bids/sub-114990/ses-1/anat/sub-114990_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-114990	ses-1	/cbica/projects/grmpy/data/bids/sub-114990/ses-1/anat/sub-114990_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20949	ses-1	/cbica/projects/grmpy/data/bids/sub-20949/ses-1/anat/sub-20949_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-20949	ses-1	/cbica/projects/grmpy/data/bids/sub-20949/ses-1/anat/sub-20949_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-20949	ses-1	/cbica/projects/grmpy/data/bids/sub-20949/ses-1/anat/sub-20949_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20949	ses-1	/cbica/projects/grmpy/data/bids/sub-20949/ses-1/anat/sub-20949_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-112249	ses-1	/cbica/projects/grmpy/data/bids/sub-112249/ses-1/anat/sub-112249_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-112249	ses-1	/cbica/projects/grmpy/data/bids/sub-112249/ses-1/anat/sub-112249_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-112249	ses-1	/cbica/projects/grmpy/data/bids/sub-112249/ses-1/anat/sub-112249_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-112249	ses-1	/cbica/projects/grmpy/data/bids/sub-112249/ses-1/anat/sub-112249_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-125511	ses-1	/cbica/projects/grmpy/data/bids/sub-125511/ses-1/anat/sub-125511_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-125511	ses-1	/cbica/projects/grmpy/data/bids/sub-125511/ses-1/anat/sub-125511_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-125511	ses-1	/cbica/projects/grmpy/data/bids/sub-125511/ses-1/anat/sub-125511_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-125511	ses-1	/cbica/projects/grmpy/data/bids/sub-125511/ses-1/anat/sub-125511_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-99604	ses-1	/cbica/projects/grmpy/data/bids/sub-99604/ses-1/anat/sub-99604_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-99604	ses-1	/cbica/projects/grmpy/data/bids/sub-99604/ses-1/anat/sub-99604_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-99604	ses-1	/cbica/projects/grmpy/data/bids/sub-99604/ses-1/anat/sub-99604_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-99604	ses-1	/cbica/projects/grmpy/data/bids/sub-99604/ses-1/anat/sub-99604_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-105176	ses-1	/cbica/projects/grmpy/data/bids/sub-105176/ses-1/anat/sub-105176_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-105176	ses-1	/cbica/projects/grmpy/data/bids/sub-105176/ses-1/anat/sub-105176_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-105176	ses-1	/cbica/projects/grmpy/data/bids/sub-105176/ses-1/anat/sub-105176_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-105176	ses-1	/cbica/projects/grmpy/data/bids/sub-105176/ses-1/anat/sub-105176_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-129886	ses-1	/cbica/projects/grmpy/data/bids/sub-129886/ses-1/anat/sub-129886_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-129886	ses-1	/cbica/projects/grmpy/data/bids/sub-129886/ses-1/anat/sub-129886_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-129886	ses-1	/cbica/projects/grmpy/data/bids/sub-129886/ses-1/anat/sub-129886_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-129886	ses-1	/cbica/projects/grmpy/data/bids/sub-129886/ses-1/anat/sub-129886_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-02_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-01_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-01_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-01_rec-defaced_T1w.json	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-02_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-01_rec-defaced_T2w.json	
DELETE	T1w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-02_rec-defaced_T1w.json	
DELETE	T2w	sub-20120	ses-1	/cbica/projects/grmpy/data/bids/sub-20120/ses-1/anat/sub-20120_ses-1_run-02_rec-defaced_T2w.json	
DELETE	T1w	sub-20120	ses-2	/cbica/projects/grmpy/data/bids/sub-20120/ses-2/anat/sub-20120_ses-2_rec-defaced_T1w.json	
DELETE	T2w	sub-20120	ses-2	/cbica/projects/grmpy/data/bids/sub-20120/ses-2/anat/sub-20120_ses-2_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-20120	ses-2	/cbica/projects/grmpy/data/bids/sub-20120/ses-2/anat/sub-20120_ses-2_rec-defaced_T2w.json	
DELETE	T1w	sub-20120	ses-2	/cbica/projects/grmpy/data/bids/sub-20120/ses-2/anat/sub-20120_ses-2_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-107055	ses-1	/cbica/projects/grmpy/data/bids/sub-107055/ses-1/anat/sub-107055_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-107055	ses-1	/cbica/projects/grmpy/data/bids/sub-107055/ses-1/anat/sub-107055_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-107055	ses-1	/cbica/projects/grmpy/data/bids/sub-107055/ses-1/anat/sub-107055_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-107055	ses-1	/cbica/projects/grmpy/data/bids/sub-107055/ses-1/anat/sub-107055_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-129552	ses-1	/cbica/projects/grmpy/data/bids/sub-129552/ses-1/anat/sub-129552_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-129552	ses-1	/cbica/projects/grmpy/data/bids/sub-129552/ses-1/anat/sub-129552_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-129552	ses-1	/cbica/projects/grmpy/data/bids/sub-129552/ses-1/anat/sub-129552_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-129552	ses-1	/cbica/projects/grmpy/data/bids/sub-129552/ses-1/anat/sub-129552_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-87135	ses-1	/cbica/projects/grmpy/data/bids/sub-87135/ses-1/anat/sub-87135_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-87135	ses-1	/cbica/projects/grmpy/data/bids/sub-87135/ses-1/anat/sub-87135_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-87135	ses-1	/cbica/projects/grmpy/data/bids/sub-87135/ses-1/anat/sub-87135_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-87135	ses-1	/cbica/projects/grmpy/data/bids/sub-87135/ses-1/anat/sub-87135_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-95116	ses-1	/cbica/projects/grmpy/data/bids/sub-95116/ses-1/anat/sub-95116_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-95116	ses-1	/cbica/projects/grmpy/data/bids/sub-95116/ses-1/anat/sub-95116_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-95116	ses-1	/cbica/projects/grmpy/data/bids/sub-95116/ses-1/anat/sub-95116_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-95116	ses-1	/cbica/projects/grmpy/data/bids/sub-95116/ses-1/anat/sub-95116_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-132179	ses-1	/cbica/projects/grmpy/data/bids/sub-132179/ses-1/anat/sub-132179_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-132179	ses-1	/cbica/projects/grmpy/data/bids/sub-132179/ses-1/anat/sub-132179_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-132179	ses-1	/cbica/projects/grmpy/data/bids/sub-132179/ses-1/anat/sub-132179_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-132179	ses-1	/cbica/projects/grmpy/data/bids/sub-132179/ses-1/anat/sub-132179_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-21085	ses-1	/cbica/projects/grmpy/data/bids/sub-21085/ses-1/anat/sub-21085_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-21085	ses-1	/cbica/projects/grmpy/data/bids/sub-21085/ses-1/anat/sub-21085_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-21085	ses-1	/cbica/projects/grmpy/data/bids/sub-21085/ses-1/anat/sub-21085_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-21085	ses-1	/cbica/projects/grmpy/data/bids/sub-21085/ses-1/anat/sub-21085_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-130687	ses-1	/cbica/projects/grmpy/data/bids/sub-130687/ses-1/anat/sub-130687_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-130687	ses-1	/cbica/projects/grmpy/data/bids/sub-130687/ses-1/anat/sub-130687_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-130687	ses-1	/cbica/projects/grmpy/data/bids/sub-130687/ses-1/anat/sub-130687_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-130687	ses-1	/cbica/projects/grmpy/data/bids/sub-130687/ses-1/anat/sub-130687_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_run-01_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_run-02_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_run-01_rec-defaced_T1w.json	
DELETE	T1w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_run-02_rec-defaced_T1w.json	
DELETE	T2w	sub-109735	ses-1	/cbica/projects/grmpy/data/bids/sub-109735/ses-1/anat/sub-109735_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-103679	ses-1	/cbica/projects/grmpy/data/bids/sub-103679/ses-1/anat/sub-103679_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-103679	ses-1	/cbica/projects/grmpy/data/bids/sub-103679/ses-1/anat/sub-103679_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-103679	ses-1	/cbica/projects/grmpy/data/bids/sub-103679/ses-1/anat/sub-103679_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-103679	ses-1	/cbica/projects/grmpy/data/bids/sub-103679/ses-1/anat/sub-103679_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-20362	ses-1	/cbica/projects/grmpy/data/bids/sub-20362/ses-1/anat/sub-20362_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20362	ses-1	/cbica/projects/grmpy/data/bids/sub-20362/ses-1/anat/sub-20362_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-20362	ses-1	/cbica/projects/grmpy/data/bids/sub-20362/ses-1/anat/sub-20362_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20362	ses-1	/cbica/projects/grmpy/data/bids/sub-20362/ses-1/anat/sub-20362_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-87445	ses-1	/cbica/projects/grmpy/data/bids/sub-87445/ses-1/anat/sub-87445_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-87445	ses-1	/cbica/projects/grmpy/data/bids/sub-87445/ses-1/anat/sub-87445_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-87445	ses-1	/cbica/projects/grmpy/data/bids/sub-87445/ses-1/anat/sub-87445_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-87445	ses-1	/cbica/projects/grmpy/data/bids/sub-87445/ses-1/anat/sub-87445_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-93856	ses-1	/cbica/projects/grmpy/data/bids/sub-93856/ses-1/anat/sub-93856_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-93856	ses-1	/cbica/projects/grmpy/data/bids/sub-93856/ses-1/anat/sub-93856_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-93856	ses-1	/cbica/projects/grmpy/data/bids/sub-93856/ses-1/anat/sub-93856_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-93856	ses-1	/cbica/projects/grmpy/data/bids/sub-93856/ses-1/anat/sub-93856_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-98831	ses-1	/cbica/projects/grmpy/data/bids/sub-98831/ses-1/anat/sub-98831_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-98831	ses-1	/cbica/projects/grmpy/data/bids/sub-98831/ses-1/anat/sub-98831_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-98831	ses-1	/cbica/projects/grmpy/data/bids/sub-98831/ses-1/anat/sub-98831_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-98831	ses-1	/cbica/projects/grmpy/data/bids/sub-98831/ses-1/anat/sub-98831_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-112028	ses-1	/cbica/projects/grmpy/data/bids/sub-112028/ses-1/anat/sub-112028_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-112028	ses-1	/cbica/projects/grmpy/data/bids/sub-112028/ses-1/anat/sub-112028_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-112028	ses-1	/cbica/projects/grmpy/data/bids/sub-112028/ses-1/anat/sub-112028_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-112028	ses-1	/cbica/projects/grmpy/data/bids/sub-112028/ses-1/anat/sub-112028_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-122801	ses-1	/cbica/projects/grmpy/data/bids/sub-122801/ses-1/anat/sub-122801_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-122801	ses-1	/cbica/projects/grmpy/data/bids/sub-122801/ses-1/anat/sub-122801_ses-1_rec-defaced_T1w.nii.gz	
