participant_id	cnb_pmat_cr	cnb_pmat_si	cnb_pmat_rtcr	cnb_pmat_rter	cnb_pmat_rtto
sub-92193	11.0	8.0	4311.0	11239.0	7759.5
sub-92211	15.0	4.0	12007.0	43638.0	16407.0
sub-92554	8.0	11.0	4763.0	5360.0	5360.0
sub-92927	n/a	n/a	n/a	n/a	n/a
sub-93051	17.0	2.0	8080.0	22072.0	18023.5
sub-93169	7.0	12.0	2680.0	7608.0	4148.0
sub-93274	15.0	4.0	8296.0	17679.0	9203.0
sub-93278	n/a	n/a	n/a	n/a	n/a
sub-93292	15.0	4.0	9815.0	17239.0	16171.0
sub-93406	n/a	n/a	n/a	n/a	n/a
sub-93517	14.0	5.0	15823.5	28688.0	24408.0
sub-93549	7.0	12.0	3848.0	8310.0	5071.0
sub-93723	10.0	9.0	4875.5	25830.0	12552.0
sub-93734	18.0	1.0	26134.0	53077.0	29341.0
sub-93787	12.0	7.0	4711.5	8541.0	6336.0
sub-93856	14.0	5.0	7775.5	19056.0	11581.0
sub-94276	7.0	12.0	3976.0	14975.0	5684.0
sub-94492	9.0	10.0	4360.0	18334.0	7419.0
sub-94848	n/a	n/a	n/a	n/a	n/a
sub-95015	11.0	8.0	2912.0	17168.0	7519.5
sub-95057	14.0	5.0	7356.0	18992.0	9360.0
sub-95116	21.0	0.0	12031.0	9495.0	11351.5
sub-95257	10.0	9.0	3239.5	9024.0	4655.0
sub-95460	15.0	4.0	4983.0	7375.0	7263.0
sub-96659	18.0	1.0	9971.5	7127.0	7127.0
sub-97092	8.0	11.0	3645.0	27782.0	6771.0
sub-97271	14.0	5.0	5423.5	4431.0	4840.0
sub-97485	12.0	7.0	3319.0	15332.0	9341.0
sub-97994	18.0	1.0	11315.0	16352.0	12599.0
sub-98314	n/a	n/a	n/a	n/a	n/a
sub-98394	9.0	10.0	5446.0	32456.0	8747.5
sub-98422	10.0	9.0	4140.0	11223.0	6983.0
sub-98535	8.0	11.0	4120.0	14424.0	7024.0
sub-98567	8.0	11.0	3007.5	8551.0	3160.0
sub-98831	18.0	1.0	12343.0	23414.0	14191.0
sub-98871	21.0	0.0	21127.0	15887.0	19239.5
sub-99352	5	14	6472	9103	7155.5
sub-99604	21.0	0.0	13543.0	15816.0	14663.0
sub-99949	21.0	0.0	9143.0	24705.0	9247.5
sub-99964	5.0	14.0	5488.0	11400.0	9656.0
