participant_id	cnb_adt_cr	cnb_adt_rtcr	cnb_adt_er	cnb_adt_rter	cnb_adt_female_cr	cnb_adt_female_rtcr	cnb_adt_male_cr	cnb_adt_male_rtcr
sub-90077	28.0	1591.5	8.0	2263.0	12.0	1516.0	16.0	1875.5
sub-90262	24.0	1910.0	12.0	2829.5	10.0	1741.0	14.0	2359.5
sub-90281	29.0	1816.0	7.0	1911.0	13.0	1815.0	16.0	1911.0
sub-90683	31	1568	5	3271	14	1572	17	1568
sub-91717	25.0	3119.0	11.0	7079.0	10.0	3451.5	15.0	3119.0
sub-91919	26.0	1691.5	10.0	2644.0	12.0	1482.5	14.0	1816.0
sub-91962	30.0	2279.0	6.0	5194.5	14.0	2366.5	16.0	2087.0
sub-92089	27.0	1591.0	9.0	2440.0	11.0	1623.0	16.0	1547.5
sub-92182	25.0	2263.0	11.0	2416.0	11.0	3057.0	14.0	1972.0
sub-92193	27.0	1368.0	9.0	1759.0	12.0	1611.5	15.0	1359.0
sub-92211	32.0	2339.5	4.0	2496.0	15.0	2232.0	17.0	2744.0
sub-92554	27.0	1760.0	9.0	2095.0	12.0	2031.5	15.0	1728.0
sub-92927	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-93051	32.0	1399.5	4.0	3924.5	15.0	1431.0	17.0	1335.0
sub-93169	29.0	1920.0	7.0	2368.0	13.0	2360.0	16.0	1863.5
sub-93274	27.0	1432.0	9.0	1920.0	10.0	1655.5	17.0	1344.0
sub-93278	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-93292	28.0	2600.0	8.0	3968.0	13.0	2496.0	15.0	2919.0
sub-93406	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-93517	31.0	3950.0	5.0	14959.0	15.0	2944.0	16.0	4207.5
sub-93549	19.0	2159.0	17.0	1952.0	10.0	2167.0	9.0	1840.0
sub-93723	27.0	2431.0	9.0	2879.0	14.0	2799.0	13.0	2183.0
sub-93734	28.0	2180.0	8.0	14547.0	14.0	2804.0	14.0	1792.0
sub-93787	27.0	2046.0	9.0	2695.0	11.0	2063.0	16.0	1999.0
sub-93856	29.0	2935.0	7.0	5112.0	12.0	3234.0	17.0	2783.0
sub-94276	25.0	2192.0	11.0	1359.0	11.0	2417.0	14.0	1895.5
sub-94492	27.0	2551.0	9.0	4191.0	14.0	2907.0	13.0	2200.0
sub-94848	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-95015	27.0	1625.0	9.0	2095.0	12.0	1804.0	15.0	1592.0
sub-95057	28.0	1632.0	8.0	2935.5	13.0	1504.0	15.0	1776.0
sub-95116	24.0	1590.0	12.0	4243.0	10.0	1479.5	14.0	1694.5
sub-95257	32.0	2406.5	4.0	2687.5	15.0	2735.0	17.0	2264.0
sub-95460	24.0	1836.0	12.0	1703.0	11.0	1879.0	13.0	1759.0
sub-96659	25.0	1919.0	11.0	4183.0	11.0	2376.0	14.0	1903.0
sub-97092	21.0	2432.0	15.0	1998.0	7.0	1896.0	14.0	2648.0
sub-97271	25.0	1432.0	11.0	1528.0	11.0	1424.0	14.0	1456.0
sub-97485	30.0	1255.5	6.0	1302.5	14.0	1255.5	16.0	1343.0
sub-97994	28.0	1660.0	8.0	4367.5	13.0	1799.0	15.0	1640.0
sub-98314	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-98394	27.0	3895.0	9.0	4271.0	13.0	4864.0	14.0	3759.0
sub-98422	23.0	1479.0	13.0	1743.0	11.0	1511.0	12.0	1475.5
sub-98535	26.0	2064.0	10.0	1935.0	11.0	2032.0	15.0	2096.0
sub-98567	26.0	3151.5	10.0	5560.0	12.0	4119.5	14.0	2728.0
sub-98831	26.0	1743.5	10.0	2339.0	12.0	1687.0	14.0	1748.0
sub-98871	28.0	2047.5	8.0	2179.5	12.0	2000.0	16.0	2107.0
sub-99352	26	2048	10	2436	12	1904	14	2063.5
sub-99604	34.0	1916.0	2.0	2072.0	18.0	2027.5	16.0	1704.0
sub-99949	30.0	1643.0	6.0	2144.0	13.0	1576.0	17.0	1991.0
sub-99964	22.0	3435.5	14.0	3279.5	10.0	3495.0	12.0	3335.5
